IDENTITY_ID,TARGET_FLAG,OB_VC_Actv_Days,IB_VC_Actv_Days,GPRS_Actv_Days,OB_SMS_Actv_Days,IB_SMS_Actv_Days,RECH_Actv_Days,RECH_AMT,GPRS_REV,GPRS_SUB_REV,GPRS_FLAG,RECH_FLAG,GPRS_VOL_MB,Tech_Awareness,NW Experience,Sites_Perc,Target_SUB_Perc,Target_Conv_Perc
15620,1,21,17,0,0,2,5,710,0,0,0,1,0,0,0.92,0.96,0.0849,0.0671
15621,0,1,11,30,5,9,4,1000,423.749,725.62,1,1,9755.4,1,1,0.9,0.0705,0.0186
15622,0,20,13,1,0,7,3,340,0,0,1,1,41.6,0,0.97,0.46,0.0427,0.0026
15623,1,10,19,13,3,9,7,220,27,0,1,1,0.4,0,0.98,0.25,0.0249,0.0092
15624,0,9,12,27,0,1,4,679,21.759,0,1,1,4233.2,1,0.95,0.92,0.0997,0.0498
15625,1,22,27,1,11,15,3,280,0,0,1,1,0,0,0.94,0.96,0.0849,0.0671
15626,0,25,28,9,12,13,5,500,31.05,0,1,1,4.5,0,0.79,0.96,0.0809,0.0286
15627,1,30,27,0,0,2,15,685,0,0,0,1,0,0,0.99,0.54,0.0428,0.0098
15628,1,22,16,0,0,4,5,440,0,0,0,1,0,0,0.87,0.34,0.0293,0.006
15629,0,11,24,3,0,0,2,150,0,0,1,1,2.1,0,0.97,0.98,0.0903,0.0204
15630,0,18,26,28,0,5,5,750,101.713,0,1,1,1699.4,0,0.97,0.41,0.0407,0.0211
15631,1,4,22,27,1,3,2,550,42.154,420,1,1,8446,1,1,0.12,0.0004,0.072
15632,1,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0.41,0.0407,0.0211
15633,1,20,20,0,0,11,3,300,0,0,0,1,0,0,0.95,0.85,0.0756,0.0531
15634,0,14,27,22,27,27,1,450,0.113,0,1,1,3198,1,0.99,0.96,0.0849,0.0671
15635,0,29,28,1,26,29,1,100,0,0,1,1,1.1,0,0.98,0.55,0.0127,0.0254
15636,0,25,27,30,0,1,3,470,11.073,0,1,1,3916.4,1,0.96,0.67,0.0643,0.0194
15637,0,14,3,1,12,14,4,160,11.259,0,1,1,125.4,0,0.97,0.12,0.0004,0.072
15638,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0.79,0.0466,0.0136
15639,0,10,23,1,1,5,1,100,0,0,1,1,0.1,0,0.98,0.96,0.0849,0.0671
15640,1,30,27,23,2,2,4,220,40.563,42,1,1,1658,1,0.98,0.47,0.0321,0.014
15641,1,0,7,23,0,1,1,150,0,90.01,1,1,3984.4,1,0.98,0.98,0.0903,0.0204
15642,1,20,25,28,2,18,7,735,21.121,370,1,1,6636,1,0.95,0.99,0.0943,0.0147
15643,0,23,29,1,30,30,5,439,1.35,0,1,1,0,0,0.94,0.3,0.0333,0.0184
15644,0,11,13,3,14,17,4,250,24.149,1,1,1,2,0,0.96,0.9,0.0703,0.0117
15645,1,24,26,0,1,1,5,410,0,0,0,1,0,0,0.89,0.54,0.0428,0.0098
15646,0,6,12,6,1,3,1,50,20.25,0,1,1,0,0,0.98,0.8,0.0556,0.0479
15647,1,1,19,0,0,4,1,50,0,0,0,1,0,0,0.97,0.69,0.0597,-0.0104
15648,0,23,27,21,9,18,4,600,34.5,0,1,1,3323.6,1,0.97,0.93,0.0723,0.0294
15649,1,25,29,0,0,4,2,450,0,0,0,1,0,0,0.95,1,0.006,0.1029
15650,1,19,19,0,1,2,2,80,0,0,0,1,0,0,0.93,0.34,0.0293,0.006
15651,0,12,29,21,19,18,3,270,15.13,5.03,1,1,3822,1,0.99,0.98,0.0903,0.0204
15652,1,0,9,0,0,6,0,0,0,0,0,0,0,0,0.94,0.96,0.0809,0.0286
15653,0,27,25,11,26,30,3,500,0,0,1,1,264.9,0,0.97,0.67,0.0643,0.0194
15654,0,0,10,30,1,6,1,230,4.188,170,1,1,3915.9,1,0.94,0.78,0.0465,0.0156
15655,1,20,22,30,9,21,3,200,140.009,0,1,1,1926.2,0,0.97,0.67,0.0643,0.0194
15656,0,14,29,2,2,17,3,195,0.75,0,1,1,0.2,0,0.98,0.46,0.0427,0.0026
15657,0,6,27,8,1,14,1,110,1.508,100,1,1,648.3,0,1,0.9,0.0705,0.0186
15658,0,20,29,16,28,30,5,700,40.2,177,1,1,413.6,0,0.96,0.92,0.0997,0.0498
15659,1,5,24,0,0,6,1,50,0,0,0,1,0,0,0.97,0.52,0.0394,0.0532
15660,1,21,28,1,6,5,7,300,0,0,1,1,1.3,0,0.96,0.96,0.0849,0.0671
15661,0,12,16,2,0,2,3,180,2.375,13,1,1,51.8,0,0.97,0.84,0.0552,-0.0028
15662,1,1,5,0,0,11,1,50,0,0,0,1,0,0,1,0.96,0.0849,0.0671
15663,0,18,29,1,6,6,2,400,0,0,1,1,0.7,0,0.99,0.92,0.0643,0.0382
15664,0,30,29,2,2,2,7,650,0,0,1,1,0,0,0.98,0.53,0.0283,0.0268
15665,0,13,7,11,8,8,2,310,0,0,1,1,4771,1,0.98,0.85,0.0756,0.0531
15666,0,14,24,16,29,29,5,210,26.441,0.04,1,1,85.4,0,1,0.99,0.0788,0.0405
